name,club_from,club_to
Ryan Kent,Liverpool,Rangers
Jesús Angulo,Necaxa,Chivas
Cristian Calderón,Necaxa,Chivas
Aké Loba,U. San Martín,Monterrey
Gabriel Martinelli,Ituano,Arsenal
Andrea Favilli,Juventus,Genoa
Lisandro Martínez,Defensa,Ajax
Eduard Löwen,1.FC Nuremberg,Hertha BSC
Théo Bongonda,Zulte Waregem,KRC Genk
Alessandro Russo,Genoa,Sassuolo
Marcos Senesi,San Lorenzo,Feyenoord
Kwang-song Han,Juventus U23,Al-Duhail SC
Léo Pereira,Athletico-PR,Flamengo
Radoslaw Majecki,Legia Warszawa,Monaco
Matheus Fernandes,Palmeiras,Barcelona
Landry Dimata,VfL Wolfsburg,RSC Anderlecht
Naïm Sliti,Dijon,Ettifaq FC
Aden Flint,Middlesbrough,Cardiff
Alexis Saelemaekers,RSC Anderlecht,AC Milan
Víctor Ruiz,Villarreal,Besiktas
Rodrigo Becão,EC Bahia,Udinese Calcio
Kevin-Prince Boateng,Sassuolo,Fiorentina
Konstantinos Mitroglou,Galatasaray,PSV Eindhoven
Leonardo Bittencourt,TSG Hoffenheim,Werder Bremen
Pape Cheikh,Olympique Lyon,Celta de Vigo
Michael Gregoritsch,FC Augsburg,FC Schalke 04
Mauricio Pereyra,Krasnodar,Orlando
Antonio Barreca,Monaco,Genoa
Jean-Eudes Aholou,Monaco,Saint-Étienne
Harry Arter,Bournemouth,Fulham
Ibrahim Amadou,Sevilla FC,Norwich
Jean-Eudes Aholou,Monaco,Saint-Étienne
Harry Arter,Bournemouth,Fulham
Callum Robinson,Sheff Utd,West Brom
Ibrahim Amadou,Sevilla FC,Norwich
Ibrahim Amadou,Sevilla FC,CD Leganés
Roque Mesa,Sevilla FC,CD Leganés
Isaac Mbenza,Huddersfield,Amiens SC
Florent Hadergjonaj,Huddersfield,Kasimpasa
Asmir Begovic,Bournemouth,Qarabag FK
Mauricio Pereyra,Krasnodar,Orlando
Zack Steffen,Columbus Crew,Man City
James Justin,Luton,Leicester
Sam Gallagher,Southampton,Blackburn
Iago,Internacional,FC Augsburg
Domagoj Bradaric,Hajduk Split,LOSC Lille
Bryan Mbeumo,Troyes,Brentford
Lucas Lima,FC Nantes,Al-Ahli SFC
Patrik Hrosovsky,Viktoria Plzen,KRC Genk
Yevgen Konoplyanka,FC Schalke 04,Shakhtar D.
Simon Kjaer,Sevilla FC,AC Milan
Nemanja Gudelj,GZ Evergrande,Sevilla FC
Wallace,Lazio,SC Braga
Gustavo Bou,Club Tijuana,New England
Richard Sánchez,Olimpia,América
Matías Viña,Nacional,Palmeiras
Luis Romo,Querétaro FC,CD Cruz Azul
Pontus Jansson,Leeds,Brentford
Christian Cueva,Krasnodar,Santos
Lukas Lerager,G. Bordeaux,Genoa
Victorien Angban,Chelsea U23,FC Metz
Serhou Guirassy,1. FC Köln,Amiens SC
Gabriel Brazão,Parma,Inter
Denis Cheryshev,Villarreal,Valencia
Craig Dawson,West Brom,Watford
Sasa Kalajdzic,Admira Wacker,VfB Stuttgart
Stefano Denswil,Club Brugge,Bologna
Enric Gallego,SD Huesca,Getafe
Léo Jardim,Rio Ave FC,LOSC Lille
Clinton N'Jie,Marseille,Dinamo Moscow
Robert Glatzel,1.FC Heidenheim,Cardiff
Kemar Roofe,Leeds,RSC Anderlecht
